Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
2168,preprint,2024,"Luo, Junwei; Pang, Zhen; Zhang, Yongjun; Wang, Tingzhu; Wang, Linlin; Dang, Bo; Lao, Jiangwei; Wang, Jian; Chen, Jingdong; Tan, Yihua; Li, Yansheng",SkySenseGPT: A Fine-Grained Instruction Tuning Dataset and Model for Remote Sensing Vision-Language Understanding,,10.48550/arXiv.2406.10100,http://arxiv.org/abs/2406.10100,
2608,preprint,2024,"Yu, Bangguo; Liu, Yuzhen; Han, Lei; Kasaei, Hamidreza; Li, Tingguang; Cao, Ming",VLN-Game: Vision-Language Equilibrium Search for Zero-Shot Semantic Navigation,,10.48550/arXiv.2411.11609,http://arxiv.org/abs/2411.11609,
2663,preprint,2024,"Li, Rui; Fischer, Tobias; Segu, Mattia; Pollefeys, Marc; Gool, Luc Van; Tombari, Federico",Know Your Neighbors: Improving Single-View Reconstruction via Spatial Vision-Language Reasoning,,10.48550/arXiv.2404.03658,http://arxiv.org/abs/2404.03658,
1849,preprint,2023,"Miyanishi, Taiki; Kitamori, Fumiya; Kurita, Shuhei; Lee, Jungdae; Kawanabe, Motoaki; Inoue, Nakamasa",CityRefer: Geography-aware 3D Visual Grounding Dataset on City-scale Point Cloud Data,,10.48550/arXiv.2310.18773,http://arxiv.org/abs/2310.18773,
2075,preprint,2023,"Miyanishi, Taiki; Kitamori, Fumiya; Kurita, Shuhei; Lee, Jungdae; Kawanabe, Motoaki; Inoue, Nakamasa",CityRefer: Geography-aware 3D Visual Grounding Dataset on City-scale Point Cloud Data,,10.48550/arXiv.2310.18773,http://arxiv.org/abs/2310.18773,
1790,preprint,2021,"Hu, Qingyong; Yang, Bo; Khalid, Sheikh; Xiao, Wen; Trigoni, Niki; Markham, Andrew","Towards Semantic Segmentation of Urban-Scale 3D Point Clouds: A Dataset, Benchmarks and Challenges",,10.48550/arXiv.2009.03137,http://arxiv.org/abs/2009.03137,
2076,preprint,2021,"Hu, Qingyong; Yang, Bo; Khalid, Sheikh; Xiao, Wen; Trigoni, Niki; Markham, Andrew","Towards Semantic Segmentation of Urban-Scale 3D Point Clouds: A Dataset, Benchmarks and Challenges",,10.48550/arXiv.2009.03137,http://arxiv.org/abs/2009.03137,
1497,conferencePaper,2019,"Hurl, Braden; Czarnecki, Krzysztof; Waslander, Steven",Precise Synthetic Image and LiDAR (PreSIL) Dataset for Autonomous Vehicle Perception,2019 IEEE Intelligent Vehicles Symposium (IV),10.1109/IVS.2019.8813809,https://ieeexplore.ieee.org/document/8813809/,2019 IEEE Intelligent Vehicles Symposium (IV)
1488,journalArticle,,"Zhang, Xu; Huang, Jianzhong; Zhang, Lefei",Any2RSI: Controllable Remote Sensing Text-to-Image Generation via Any Control and Enriched Description,,,,
1489,journalArticle,,"Shah, Dhruv; Sridhar, Ajay; Dashora, Nitish; Stachowicz, Kyle; Black, Kevin; Hirose, Noriaki; Levine, Sergey",ViNT: A Foundation Model for Visual Navigation,,,,
1490,journalArticle,,"Ye, Junyan; Lin, Honglin; Ou, Leyan; Chen, Dairong; Wang, Zihao; Zhu, Qi; He, Conghui; Li, Weijia",Where am I? Cross-View Geo-localization with Natural Language Descriptions,,,,
1495,journalArticle,,"Li, Yiheng; Fan, Cunxin; Ge, Chongjian; Zhao, Seth Z; Li, Chenran; Xu, Chenfeng; Yao, Huaxiu; Tomizuka, Masayoshi; Zhou, Bolei; Tang, Chen; Ding, Mingyu; Zhan, Wei",WOMD-Reasoning: A Large-Scale Dataset for Interaction Reasoning in Driving,,,,
1518,journalArticle,,"Xie, Shaoyuan; Kong, Lingdong; Dong, Yuhao; Sima, Chonghao; Zhang, Wenwei; Chen, Qi Alfred; Liu, Ziwei; Pan, Liang","Are VLMs Ready for Autonomous Driving? An Empirical Study from the Reliability, Data and Metric Perspectives",,,,
1519,journalArticle,,"Ji, Yuxiang; He, Boyong; Tan, Zhuoyue; Wu, Liaoni",Game4Loc: A UAV Geo-Localization Benchmark from Game Data (Supplementary),,,,
1521,journalArticle,,"Sanyal, Sourav; Roy, Kaushik",ASMA: An Adaptive Safety Margin Algorithm for Vision-Language Drone Navigation via Scene-Aware Control Barrier Functions,,,,
2141,journalArticle,,"Ye, Junyan; Lin, Honglin; Ou, Leyan; Chen, Dairong; Wang, Zihao; Zhu, Qi; He, Conghui; Li, Weijia",Where am I? Cross-View Geo-localization with Natural Language Descriptions,,,,
2532,webpage,,,AerialMegaDepth,,,https://aerial-megadepth.github.io/,
2595,journalArticle,,"Fan, Sheng; Liu, Rui; Wang, Wenguan; Yang, Yi",Scene Map-based Prompt Tuning for Navigation Instruction Generation,,,,
2611,journalArticle,,"Ye, Seonghyeon; Ge, Yunhao; Zheng, Kaiyuan; Gao, Shenyuan; Yu, Sihyun; Kurian, George; Indupuru, Suneel; Tan, You Liang; Zhu, Chuning; Xiang, Jiannan; Malik, Ayaan; Lee, Kyungmin; Liang, William; Ranawaka, Nadun; Gu, Jiasheng; Xu, Yinzhen; Wang, Guanzhi; Hu, Fengyuan; Narayan, Avnish; Bjorck, Johan; Wang, Jing; Kim, Gwanghyun; Niu, Dantong; Zheng, Ruijie; Xie, Yuqi; Wu, Jimmy; Wang, Qi; Julian, Ryan; Xu, Danfei; Du, Yilun; Chebotar, Yevgen; Reed, Scott; Kautz, Jan; Zhu, Yuke; Jang, Joel",World Action Models are Zero-shot Policies,,,,
